product_id,size
81217876,Small
81217876,XLarge
81223666,2XLarge
81223666,3XLarge
81223666,4XLarge
81223666,5XLarge
81442433,Large
81442433,Medium
81454675,Adult Shoe Large
81454675,Adult Shoe Medium
81454675,Adult Shoe Small
81454675,Adult Shoe XLarge
81454675,Adult Shoe XSmall
81455052,32 Waist
81455052,34 Waist
81455052,36 Waist
81455052,40 Waist
81455052,42 Waist
81518333,Large
81518333,Medium
81518333,Small
81518333,XLarge
81544184,2XLarge
81544184,Large
81544184,Medium
81544184,Small
81544184,XLarge
81565308,Large
81565308,Medium
81565308,Small
81565308,XLarge
81568112,Large
81568112,Medium
81568112,Small
81568112,XLarge
81570218,Large
81570218,Medium
81570218,Small
81570218,XLarge
81637513,Large
81637513,Medium
81637513,Small
81637513,XLarge
81697271,Large
81697271,Medium
81697271,Small
81697271,XLarge
82032179,Large
82032179,Medium
82032179,XLarge
82266569,Large
82266569,Medium
82266569,Small
82266569,XLarge
82361864,2XLarge
82361864,Large
82361864,Medium
82361864,Small
82361864,XLarge
82365353,2XLarge
82365353,Large
82365353,Medium
82365353,Small
82365353,XLarge
82365353,XSmall
82365492,2XLarge
82365492,Large
82365492,Medium
82365492,Small
82365492,XLarge
83096693,2XLarge
83096693,Large
83096693,Medium
83096693,Small
83096693,XLarge
83096716,2XLarge
83096716,Large
83096716,Medium
83096716,Small
83096716,XLarge
83096735,2XLarge
83096735,Large
83096735,Medium
83096735,Small
83096735,XLarge
83134372,Medium
83134372,Small
83136990,2XLarge
83136990,Large
83136990,Medium
83136990,Small
83136990,XLarge
83171309,2XLarge
83171309,XLarge
83171501,2XLarge
83171501,Large
83171501,Medium
83171501,Small
83171501,XSmall
83171503,2XLarge
83171503,Large
83171503,Small
83171503,XSmall
83171640,Small
83171640,XSmall
83171750,Small
83171750,XSmall
83171873,2XLarge
83171873,Large
83171873,XLarge
83171873,XSmall
83172685,2XLarge
83172685,Large
83172685,Medium
83172685,Small
83172685,XLarge
83173053,2XLarge
83173053,Large
83173053,Medium
83173053,Small
83173053,XLarge
83173168,Medium
83173168,Small
83243021,2XLarge
83243021,XSmall
83281333,2XLarge
83281333,Large
83281333,Medium
83281333,Small
83281333,XLarge
83281333,XSmall
83300045,2XLarge
83300045,3XLarge
83300045,Large
83300045,Medium
83300045,Small
83300045,XLarge
83315134,2XLarge
83315134,Large
83315134,Medium
83315134,Small
83315134,XLarge
83316190,2XLarge
83316190,3XLarge
83316190,Large
83316190,Medium
83316190,Small
83316190,XLarge
83317757,2XLarge
83317757,3XLarge
83317757,Large
83317757,Medium
83317757,Small
83317757,XLarge
83318587,2XLarge
83318587,3XLarge
83318587,Large
83318587,Medium
83318587,Small
83318587,XLarge
83318703,2XLarge
83318703,Large
83318703,Medium
83318703,Small
83318703,XLarge
83319314,2XLarge
83319314,3XLarge
83319314,Large
83319314,Medium
83319314,Small
83319314,XLarge
83344833,2XLarge
83344833,Large
83344833,Medium
83344833,Small
83344833,XLarge
83403366,Medium
83403366,Small
83404119,2XLarge
83404119,Large
83404119,Medium
83404119,Small
83405206,Medium
83405206,Small
83405340,2XLarge
83405340,Large
83405340,Medium
83405340,Small
83405340,XLarge
83794390,Medium
83794390,Small
83794390,XLarge
83794390,XSmall
83795508,2XLarge
83795508,Large
83795508,Medium
83795508,Small
83795508,XLarge
83795508,XSmall
83977560,Medium
83977560,XSmall
83978627,2XLarge
83978627,Large
83978627,Medium
83978627,Small
83978627,XLarge
83978627,XSmall
83996518,2XLarge
83996518,Large
83996518,Medium
83996518,Small
83996518,XLarge
83996997,Large
83996997,Medium
83996997,Small
84001900,2XLarge
84001900,Large
84001900,Medium
84001900,Small
84001900,XLarge
84037466,Large
84037466,XLarge
84038892,Large
84038892,Medium
84038892,XLarge
84039495,Large
84039495,Medium
84039495,Small
84039495,XLarge
84057791,Large
84057791,Medium
84057791,Small
84057791,XLarge
84059358,Medium
84059358,Small
84059358,XLarge
84061657,Large
84061657,Medium
84061657,Small
84061657,XLarge
84070145,Medium
84070145,Small
84104614,2XLarge
84104614,Large
84104614,Medium
84104614,Small
84104614,XLarge
84106325,2XLarge
84106325,Large
84106325,Medium
84106325,Small
84106325,XLarge
84107416,Medium
84107416,Small
84107416,XLarge
84532337,2XLarge
84532337,3XLarge
84532337,Large
84532337,Medium
84532337,Small
84532337,XLarge
84796631,Medium
84796631,Small
84896751,3XLarge
84896751,Large
84896751,Small
84898960,2XLarge
84898960,Large
84898960,Medium
84898960,Small
84898960,XLarge
84902425,Medium
84902425,Small
84903537,Medium
84903537,Small
84911745,Large
84911745,XLarge
84914811,Large
84914811,Small
84914811,XLarge
84921857,Large
84921857,Medium
84921857,Small
84921857,XLarge
84922353,Medium
84922353,Small
84922762,Large
84922762,Small
84922762,XLarge
84923583,2XLarge
84923583,Large
84923583,Medium
84923583,Small
84923583,XLarge
84923583,XSmall
85018469,Large
85018469,Medium
85018469,Small
85018469,XLarge
85301366,Large
85301366,Medium
85301366,Small
85301891,Large
85301891,Medium
85301891,Small
85301891,XLarge
85655244,2XLarge
85655244,Large
85655244,Medium
85655244,Small
85719538,Medium
85719538,Small
85719538,XLarge
85719539,2XLarge
85719539,XLarge
85719627,Large
85719627,Small
85719627,XLarge
85719840,2XLarge
85719840,Large
85719840,Small
85719840,XLarge
85720513,2XLarge
85720513,3XLarge
85720513,Large
85720513,Medium
85720513,Small
85720513,XLarge
85722095,Medium
85722095,Small
85722095,XLarge
85722254,2XLarge
85722254,Large
85722254,Medium
85722254,XLarge
85722282,2XLarge
